   1.360  -0.690E-02   0.959E-04   0.211E-03   0.251E-03   0.378E-02   0.321E-02  -0.563E-03
   1.380  -0.684E-02   0.959E-04   0.209E-03   0.249E-03   0.375E-02   0.318E-02  -0.573E-03
   1.400  -0.678E-02   0.957E-04   0.207E-03   0.247E-03   0.372E-02   0.315E-02  -0.583E-03
   1.420  -0.671E-02   0.972E-04   0.206E-03   0.247E-03   0.369E-02   0.312E-02  -0.591E-03
   1.440  -0.665E-02   0.974E-04   0.205E-03   0.245E-03   0.366E-02   0.309E-02  -0.601E-03
   1.460  -0.660E-02   0.973E-04   0.202E-03   0.244E-03   0.363E-02   0.306E-02  -0.611E-03
   1.480  -0.654E-02   0.975E-04   0.201E-03   0.242E-03   0.360E-02   0.303E-02  -0.620E-03
   1.500  -0.648E-02   0.975E-04   0.199E-03   0.241E-03   0.357E-02   0.300E-02  -0.630E-03
   1.520  -0.643E-02   0.973E-04   0.197E-03   0.239E-03   0.354E-02   0.298E-02  -0.639E-03
   1.540  -0.637E-02   0.980E-04   0.195E-03   0.238E-03   0.351E-02   0.295E-02  -0.649E-03
   1.560  -0.632E-02   0.976E-04   0.193E-03   0.236E-03   0.348E-02   0.293E-02  -0.658E-03
   1.580  -0.626E-02   0.978E-04   0.192E-03   0.235E-03   0.346E-02   0.290E-02  -0.667E-03
   1.600  -0.621E-02   0.974E-04   0.189E-03   0.233E-03   0.343E-02   0.288E-02  -0.677E-03
   1.620  -0.616E-02   0.972E-04   0.187E-03   0.231E-03   0.340E-02   0.285E-02  -0.686E-03
   1.640  -0.611E-02   0.973E-04   0.186E-03   0.229E-03   0.337E-02   0.283E-02  -0.695E-03
   1.660  -0.606E-02   0.971E-04   0.184E-03   0.228E-03   0.335E-02   0.281E-02  -0.704E-03
   1.680  -0.601E-02   0.969E-04   0.182E-03   0.226E-03   0.332E-02   0.278E-02  -0.713E-03
   1.700  -0.596E-02   0.967E-04   0.180E-03   0.224E-03   0.330E-02   0.276E-02  -0.723E-03
   1.720  -0.592E-02   0.966E-04   0.178E-03   0.223E-03   0.327E-02   0.274E-02  -0.732E-03
   1.740  -0.587E-02   0.961E-04   0.176E-03   0.221E-03   0.324E-02   0.272E-02  -0.740E-03
   1.760  -0.582E-02   0.962E-04   0.174E-03   0.219E-03   0.322E-02   0.270E-02  -0.749E-03
   1.780  -0.578E-02   0.959E-04   0.172E-03   0.218E-03   0.319E-02   0.268E-02  -0.758E-03
   1.800  -0.573E-02   0.957E-04   0.171E-03   0.216E-03   0.317E-02   0.266E-02  -0.767E-03
   1.820  -0.569E-02   0.954E-04   0.169E-03   0.214E-03   0.314E-02   0.264E-02  -0.775E-03
   1.840  -0.565E-02   0.944E-04   0.167E-03   0.212E-03   0.312E-02   0.262E-02  -0.784E-03
   1.860  -0.560E-02   0.946E-04   0.165E-03   0.211E-03   0.310E-02   0.260E-02  -0.792E-03
   1.880  -0.556E-02   0.946E-04   0.164E-03   0.209E-03   0.307E-02   0.258E-02  -0.800E-03
   1.900  -0.552E-02   0.943E-04   0.162E-03   0.207E-03   0.305E-02   0.256E-02  -0.809E-03
   1.920  -0.548E-02   0.940E-04   0.160E-03   0.206E-03   0.303E-02   0.254E-02  -0.817E-03
   1.940  -0.544E-02   0.937E-04   0.158E-03   0.204E-03   0.300E-02   0.253E-02  -0.825E-03
   1.960  -0.540E-02   0.934E-04   0.157E-03   0.203E-03   0.298E-02   0.251E-02  -0.833E-03
   1.980  -0.536E-02   0.930E-04   0.155E-03   0.201E-03   0.296E-02   0.249E-02  -0.841E-03
   2.000  -0.532E-02   0.928E-04   0.153E-03   0.199E-03   0.294E-02   0.248E-02  -0.848E-03
   2.020  -0.528E-02   0.923E-04   0.152E-03   0.198E-03   0.291E-02   0.246E-02  -0.856E-03
   2.040  -0.525E-02   0.919E-04   0.150E-03   0.196E-03   0.289E-02   0.244E-02  -0.864E-03
   2.060  -0.521E-02   0.914E-04   0.148E-03   0.194E-03   0.287E-02   0.243E-02  -0.871E-03
   2.080  -0.517E-02   0.910E-04   0.146E-03   0.193E-03   0.285E-02   0.241E-02  -0.878E-03
   2.100  -0.514E-02   0.906E-04   0.145E-03   0.191E-03   0.283E-02   0.239E-02  -0.885E-03
   2.120  -0.510E-02   0.903E-04   0.143E-03   0.190E-03   0.281E-02   0.238E-02  -0.892E-03
   2.140  -0.506E-02   0.897E-04   0.142E-03   0.188E-03   0.279E-02   0.236E-02  -0.899E-03
   2.160  -0.503E-02   0.895E-04   0.140E-03   0.187E-03   0.277E-02   0.235E-02  -0.906E-03
   2.180  -0.499E-02   0.891E-04   0.139E-03   0.185E-03   0.275E-02   0.233E-02  -0.912E-03
   2.200  -0.496E-02   0.886E-04   0.137E-03   0.183E-03   0.273E-02   0.232E-02  -0.919E-03
   2.220  -0.493E-02   0.880E-04   0.135E-03   0.182E-03   0.271E-02   0.230E-02  -0.925E-03
